C,filename,url,atom_count,valid,reason,bytes,sha256
36,C36-C2-11.xyz,https://nanotube.msu.edu/fullerene/C36/C36-C2-11.xyz,36,1,OK,2212,91a7bee34f2c65677278c32b39ae1755f6fe8e7c11046eb4e8f698f9d200dab9
36,C36-C2-12.xyz,https://nanotube.msu.edu/fullerene/C36/C36-C2-12.xyz,36,1,OK,2212,6add1919f96e6ef7ac6d222d37a85aa5c2352bd9409bec402b71267a33f51468
36,C36-C2v-9.xyz,https://nanotube.msu.edu/fullerene/C36/C36-C2v-9.xyz,36,1,OK,2212,ed1d6eae55c469dd2a47d3e3beef634d6a26c978217c21e7aa366227bf0943bc
36,C36-Cs-4.xyz,https://nanotube.msu.edu/fullerene/C36/C36-Cs-4.xyz,36,1,OK,2212,b11b40c6a762eac451af506f36d6b327092d6d19413dde4f880f67c297dc063b
36,C36-Cs-8.xyz,https://nanotube.msu.edu/fullerene/C36/C36-Cs-8.xyz,36,1,OK,2212,22f4f0f003f3af356f0c7f40f3e98ff37faf5101821c03a71c1ea54da0671dde
36,C36-D2-2.xyz,https://nanotube.msu.edu/fullerene/C36/C36-D2-2.xyz,36,1,OK,2212,4a2761e2c9dcbd14f53cda2e04f2ea3ed914fd3f9aeac6709a50cbf4d21eb6c4
36,C36-D2-5.xyz,https://nanotube.msu.edu/fullerene/C36/C36-D2-5.xyz,36,1,OK,2212,c6c2a83ddbf31fe866f828b8c23cf0332926121e8c4710bbb6b0a7442a5e268b
36,C36-D2d-14.xyz,https://nanotube.msu.edu/fullerene/C36/C36-D2d-14.xyz,36,1,OK,2212,75761fb3f4fd78a531330a4f5df4ba3193b82483f387bcc9ed2818578d2cfc02
36,C36-D2d-6.xyz,https://nanotube.msu.edu/fullerene/C36/C36-D2d-6.xyz,36,1,OK,2212,b45dbf73edbc0654db41d458c3b1f82f88a5240accbb682060e13e12c8228060
36,C36-D3h-13.xyz,https://nanotube.msu.edu/fullerene/C36/C36-D3h-13.xyz,36,1,OK,2212,f6fba67b36b9164c0a798a0cbf70381aaab728ac5d8f9873f30a2b6c9772a4a9
36,C36-D6h-15.xyz,https://nanotube.msu.edu/fullerene/C36/C36-D6h-15.xyz,36,1,OK,2212,0019152e79b835d7bc35529dc8f5399b0b7809d9bfc70776110cd427b381a97b
38,C38-C1-11.xyz,https://nanotube.msu.edu/fullerene/C38/C38-C1-11.xyz,38,1,OK,2330,61a20f6b2d6afc1720f3dceac1faa4cfbfc1e12b7e0022f4afa018440e4b62ee
